alerts_15m,error_rate,p95_latency_ms,cpu_pct,mem_pct,disk_pct,user_reports_30m,vip_involved,after_hours,change_window,clinical_system,integration_related,vendor_dependency,affected_services,est_users_impacted,needs_escalation
4,0.209,364.0,27.9,40.6,50.6,0,0,0,0,0,0,0,1,32.0,0
3,,340.0,63.6,76.1,71.4,0,0,0,1,0,1,0,0,27.0,0
3,0.275,469.0,89.0,16.9,65.1,0,0,0,0,0,0,0,0,14.0,0
2,0.0817,426.0,43.4,67.0,34.6,0,0,0,0,0,0,0,2,17.0,0
1,0.1235,517.0,50.9,48.0,92.4,2,0,1,0,0,0,0,0,23.0,0
6,0.1111,305.0,57.6,48.8,39.0,0,1,0,0,0,1,0,1,56.0,0
1,0.2164,326.0,88.6,,68.7,0,0,1,0,0,0,0,1,26.0,1
0,0.1888,,,44.3,,0,0,1,0,0,1,1,0,90.0,0
1,0.1657,298.0,55.7,44.8,66.4,1,0,0,0,0,0,0,1,16.0,0
3,0.7305,231.0,37.6,53.0,54.1,1,0,0,0,0,1,0,0,29.0,0
1,,230.0,42.2,61.2,75.2,1,0,0,0,0,0,0,1,21.0,1
1,0.3196,176.0,51.1,48.4,37.0,0,0,1,0,0,0,0,0,39.0,1
2,0.1364,355.0,76.3,31.4,60.9,1,0,1,0,1,0,0,2,20.0,0
5,0.1573,284.0,84.4,42.0,53.0,0,0,0,0,1,0,0,4,,0
2,0.2323,195.0,60.1,74.2,51.2,1,0,0,0,0,1,0,0,,1
1,,192.0,45.2,56.1,68.9,1,1,1,0,0,1,0,2,,1
5,0.0982,154.0,86.9,61.8,79.2,0,0,0,0,1,0,0,3,46.0,1
1,0.1941,473.0,44.3,51.1,56.5,0,1,1,1,0,0,0,3,55.0,1
4,0.2587,306.0,41.7,45.1,74.5,0,0,1,0,0,0,0,5,130.0,1
2,0.2022,175.0,20.1,80.2,62.8,1,0,0,0,0,0,0,1,,0
0,,422.0,77.1,,47.7,2,0,0,1,0,0,0,0,,0
1,0.1593,203.0,69.4,48.3,57.9,0,0,0,0,1,0,0,2,62.0,1
2,0.2065,130.0,95.5,71.4,57.2,3,0,0,0,1,0,0,0,133.0,0
0,0.2122,474.0,,44.2,50.9,0,0,1,1,1,1,0,0,15.0,1
1,,205.0,78.2,46.1,68.9,0,0,1,1,1,1,0,1,184.0,1
4,0.4651,234.0,53.3,55.2,65.8,2,0,1,0,0,0,1,0,33.0,1
2,0.1936,288.0,66.5,55.0,36.5,1,0,0,0,1,0,0,1,24.0,0
0,0.1571,507.0,,,35.6,1,0,0,0,0,1,0,1,14.0,0
2,0.2896,285.0,78.4,86.4,68.8,2,0,1,0,0,0,0,2,26.0,0
1,,143.0,66.2,60.0,49.0,0,0,0,1,0,0,0,1,6.0,0
3,0.1904,387.0,51.3,19.3,,2,0,0,0,0,0,0,0,18.0,0
2,0.3516,216.0,63.6,59.9,,0,0,0,1,0,1,0,4,32.0,1
2,0.3901,795.0,38.2,55.6,41.7,1,0,0,0,0,0,0,1,12.0,0
4,0.5223,293.0,41.6,55.7,,0,0,1,0,0,1,0,0,45.0,1
2,0.6054,82.0,43.7,58.7,88.8,0,0,0,0,0,0,0,0,,1
2,0.1413,,18.7,54.6,67.6,0,0,1,1,0,1,0,2,19.0,0
2,0.2294,820.0,67.5,62.2,55.3,1,0,0,0,0,0,0,1,21.0,1
5,0.2742,711.0,73.4,64.2,47.1,0,0,0,0,0,1,1,1,,0
1,0.2031,755.0,39.4,46.9,,1,0,0,0,0,0,0,2,33.0,1
1,0.15,157.0,58.3,40.8,,0,0,1,1,1,0,0,0,17.0,0
2,,465.0,47.2,100.0,76.1,0,0,0,0,0,0,1,2,34.0,0
0,0.2125,182.0,57.9,44.3,49.6,2,0,0,0,0,0,0,1,27.0,0
1,,312.0,40.7,56.5,79.5,0,0,0,0,0,0,0,0,10.0,0
3,0.2534,143.0,36.1,32.6,55.6,0,0,1,0,1,0,0,1,27.0,1
0,0.1305,190.0,70.9,56.7,45.3,0,0,1,0,0,0,0,2,50.0,0
3,0.132,198.0,,41.0,55.2,1,0,0,0,0,1,1,0,39.0,0
4,0.292,480.0,88.4,48.4,20.0,2,0,1,1,0,0,1,3,29.0,0
1,0.2329,429.0,52.8,70.7,60.1,1,0,0,1,1,1,0,2,65.0,0
2,0.313,328.0,35.3,62.1,59.3,1,1,0,0,1,0,0,3,20.0,0
2,0.7575,134.0,74.1,,,1,0,0,0,0,0,0,1,13.0,0
1,0.2497,232.0,63.4,28.4,31.8,0,0,1,0,0,1,1,1,23.0,0
3,,190.0,65.1,82.6,80.6,1,0,0,1,0,0,0,0,81.0,1
1,,445.0,73.4,37.1,75.1,0,0,0,0,0,0,0,1,32.0,0
2,0.1122,538.0,40.2,77.9,82.0,1,0,0,0,1,0,0,1,27.0,1
4,0.613,524.0,49.7,70.3,61.2,2,0,0,1,1,0,0,1,116.0,1
3,0.1455,190.0,48.9,63.7,78.2,0,0,1,0,1,0,0,2,30.0,0
2,0.1282,62.0,28.8,42.2,38.5,0,0,1,0,1,0,1,1,202.0,0
7,0.3007,118.0,47.3,57.3,73.4,1,0,0,0,0,1,0,1,18.0,0
3,0.23,628.0,76.1,47.9,49.7,1,0,0,0,1,0,0,1,15.0,1
3,0.1471,230.0,56.3,55.4,35.6,0,0,0,0,0,0,0,2,27.0,0
1,0.1813,183.0,27.8,51.3,,2,1,0,1,0,0,1,4,32.0,1
1,0.4215,681.0,24.0,24.4,62.1,1,0,0,0,0,0,0,3,18.0,1
2,,564.0,82.0,71.8,48.8,1,0,1,0,0,0,0,0,197.0,1
4,0.1193,297.0,50.4,53.8,68.0,1,1,0,1,1,1,0,2,49.0,1
0,0.3391,230.0,40.3,47.7,33.1,1,0,1,1,1,0,0,1,49.0,0
1,0.281,257.0,47.1,46.6,28.0,3,0,0,0,1,0,0,0,21.0,1
1,0.1524,313.0,25.4,60.4,,1,0,1,1,1,1,1,0,19.0,0
3,0.1012,,77.6,41.6,76.5,0,0,0,0,0,0,0,0,56.0,1
3,0.1605,362.0,44.9,21.2,45.2,0,0,1,0,0,0,0,4,10.0,0
2,0.2209,420.0,76.6,61.1,62.0,0,0,1,0,1,0,0,4,,1
2,0.4322,535.0,52.9,62.8,78.3,1,0,0,0,0,0,1,1,23.0,1
3,0.1367,151.0,77.7,52.0,68.7,0,0,1,1,1,0,0,0,,1
2,0.2173,,56.6,37.8,64.4,2,0,0,0,0,1,0,2,23.0,0
1,0.3108,,67.4,56.3,79.5,1,0,0,0,0,0,0,0,34.0,0
6,0.0781,76.0,54.9,33.0,50.3,1,0,0,0,0,0,1,1,28.0,0
0,0.3565,84.0,63.2,39.6,62.5,0,0,1,1,0,0,1,0,69.0,1
