alerts_15m,error_rate,p95_latency_ms,cpu_pct,mem_pct,disk_pct,user_reports_30m,vip_involved,after_hours,change_window,clinical_system,integration_related,vendor_dependency,affected_services,est_users_impacted,needs_escalation
4,0.3386,370.0,74.9,58.0,40.2,0,0,0,0,0,0,0,1,42.0,1
3,,358.0,,64.0,65.7,1,0,0,0,0,1,0,0,10.0,1
3,0.3375,289.0,86.0,80.6,,0,0,0,0,0,0,0,0,35.0,1
2,0.237,121.0,51.7,63.4,45.6,0,0,0,1,1,1,0,2,20.0,1
1,,196.0,28.7,46.6,29.7,5,0,0,1,0,1,0,0,20.0,1
6,0.1606,244.0,44.4,71.6,59.2,0,0,0,0,0,0,0,0,16.0,0
1,0.1619,221.0,52.2,45.5,87.8,0,0,0,0,0,1,1,0,83.0,0
0,0.253,282.0,33.9,57.5,60.1,0,0,0,0,0,1,1,2,43.0,1
1,0.258,604.0,81.7,35.6,72.3,1,0,0,0,1,0,0,1,93.0,1
3,0.0762,449.0,82.3,39.5,99.6,0,0,0,0,0,0,0,2,316.0,1
1,0.1392,160.0,60.6,55.8,68.5,1,0,0,0,1,0,1,0,31.0,0
1,0.4158,401.0,51.8,60.5,49.8,0,0,0,0,1,0,0,1,112.0,0
2,0.2378,400.0,28.7,29.5,52.0,0,0,0,1,0,0,0,0,14.0,1
5,0.125,192.0,79.8,62.5,62.0,1,0,0,0,0,0,0,2,85.0,1
2,0.8317,449.0,53.4,42.7,51.9,0,0,0,0,0,0,1,1,14.0,1
1,0.211,253.0,46.8,74.2,53.1,0,0,1,0,1,0,0,2,38.0,0
5,0.3367,138.0,60.7,49.7,77.8,1,0,1,1,0,1,0,3,54.0,1
1,0.2671,354.0,41.5,38.1,78.4,0,0,0,0,0,0,1,1,48.0,1
4,0.2097,,54.6,56.1,35.6,2,0,1,0,0,0,0,1,10.0,0
2,0.1526,248.0,26.0,41.3,48.9,0,0,0,0,1,0,0,2,,0
0,0.6485,,71.6,74.0,54.6,0,0,0,0,0,0,1,2,51.0,1
1,0.3722,186.0,50.1,55.0,71.6,1,0,0,0,0,0,0,3,26.0,1
2,0.3577,394.0,72.9,52.7,80.3,3,0,0,0,0,0,0,0,8.0,1
0,0.2772,264.0,,63.9,100.0,3,0,0,0,1,0,1,1,32.0,0
1,0.1235,302.0,49.5,39.9,54.5,3,0,0,0,1,0,0,0,27.0,0
4,0.5182,357.0,30.2,35.7,55.3,1,0,1,0,0,0,0,2,,1
2,0.1432,149.0,65.7,61.1,71.4,2,0,0,0,0,0,0,1,42.0,1
0,0.2359,165.0,36.2,38.5,51.1,0,0,0,0,0,0,1,1,40.0,0
2,0.0924,83.0,33.2,38.5,59.7,0,0,0,0,0,0,1,1,,0
1,0.0698,376.0,42.0,67.6,55.4,2,0,0,0,0,0,0,1,20.0,0
3,0.288,147.0,54.2,62.9,20.1,0,0,0,1,0,0,0,2,66.0,1
2,0.1459,303.0,21.3,36.2,64.0,2,0,0,0,1,0,0,2,,1
2,0.0762,345.0,37.8,45.7,59.1,0,0,0,0,0,0,0,3,26.0,0
4,0.3455,408.0,66.3,41.4,82.3,0,0,0,0,0,1,0,1,,0
2,0.7306,145.0,45.2,,62.1,0,0,0,0,0,0,0,0,24.0,1
2,0.4888,272.0,48.0,68.6,41.9,1,0,1,0,0,0,0,1,36.0,1
2,0.1976,705.0,54.9,48.7,57.9,1,0,1,0,0,1,0,1,6.0,1
5,0.2739,767.0,49.7,63.6,,0,0,0,0,0,0,0,0,10.0,1
1,,475.0,33.5,,,0,0,0,0,0,1,0,2,10.0,1
1,0.3974,332.0,51.3,,72.2,0,0,1,0,0,0,0,1,52.0,1
2,0.1884,162.0,69.9,56.6,58.0,0,0,1,0,1,0,0,0,6.0,1
0,0.2057,402.0,33.1,61.8,76.8,1,0,0,0,1,1,1,3,40.0,1
1,0.2529,253.0,45.3,53.5,30.5,1,0,0,0,0,1,1,2,55.0,1
3,,391.0,27.1,58.7,,0,0,1,0,0,0,0,0,29.0,0
0,0.1876,191.0,68.9,56.2,54.4,0,0,0,0,0,0,0,0,,0
3,0.2263,261.0,50.3,52.5,,1,1,1,0,1,0,0,2,50.0,1
4,0.5482,321.0,36.7,50.6,72.8,1,0,0,0,1,0,0,0,69.0,0
1,0.417,316.0,53.7,48.6,72.3,2,0,0,1,0,1,0,0,23.0,0
2,,369.0,30.3,58.5,86.7,0,0,1,0,0,0,0,3,6.0,1
2,0.586,205.0,33.4,61.2,56.1,0,0,1,0,0,1,0,1,69.0,1
1,0.1733,132.0,25.7,58.0,83.4,0,1,0,1,0,0,0,1,38.0,0
3,0.5902,702.0,32.8,37.3,45.3,1,0,1,1,0,0,0,2,30.0,0
1,,1085.0,76.4,48.0,44.7,1,0,1,0,0,0,0,3,7.0,0
2,,360.0,38.8,61.0,74.0,0,0,0,1,0,0,0,0,,1
4,0.1332,141.0,60.4,77.1,37.9,1,0,1,0,0,0,0,1,14.0,0
3,0.1654,188.0,36.9,57.3,71.2,1,0,0,1,0,0,1,1,10.0,1
2,0.2866,372.0,65.7,48.8,63.6,0,0,0,0,0,1,0,3,32.0,0
7,0.3823,650.0,33.5,58.4,79.1,0,1,1,0,1,1,0,3,28.0,1
3,0.7065,147.0,52.7,37.9,61.0,2,0,0,1,0,1,0,0,17.0,1
3,0.1674,268.0,53.0,74.6,62.9,0,0,1,0,0,0,0,2,56.0,1
1,0.3526,307.0,93.9,57.8,70.1,1,0,0,1,1,0,0,1,41.0,1
1,0.4063,444.0,63.3,45.0,51.4,2,1,0,0,0,0,0,1,19.0,1
2,0.3354,233.0,41.3,52.5,50.7,0,0,0,0,0,0,0,0,15.0,0
4,0.1513,124.0,64.3,47.1,69.6,2,0,0,1,0,0,1,2,22.0,0
0,0.4379,381.0,,74.7,61.5,1,0,1,0,0,1,0,0,20.0,1
1,0.4215,512.0,22.7,52.0,55.5,1,0,0,1,1,0,0,0,,1
1,0.2981,264.0,36.8,57.3,60.7,1,0,0,1,0,1,0,1,,1
3,0.2705,359.0,47.7,63.6,87.5,0,0,0,0,0,0,0,3,113.0,1
3,0.2737,221.0,44.5,43.9,54.9,1,0,0,0,0,0,0,4,,0
2,0.218,177.0,46.0,57.9,54.4,1,0,0,0,1,0,1,0,,1
2,0.3238,495.0,28.5,59.1,34.7,1,0,1,0,1,1,0,3,46.0,1
3,0.2459,355.0,77.3,31.7,61.3,0,0,0,0,0,0,0,1,64.0,1
2,,369.0,26.4,58.8,72.5,1,0,0,0,0,0,0,0,33.0,1
1,0.1204,630.0,,54.3,75.4,0,0,0,0,0,0,0,1,20.0,0
6,0.1914,171.0,70.8,56.9,63.7,0,0,0,0,0,1,0,0,23.0,0
0,0.2281,200.0,51.5,55.5,77.3,1,0,0,0,0,0,0,2,36.0,1
3,0.2382,313.0,34.4,58.9,73.7,2,1,0,0,0,0,0,0,45.0,1
4,0.2889,215.0,27.7,,79.8,0,0,0,0,0,0,0,0,8.0,0
3,0.3184,442.0,47.9,37.3,77.7,0,0,0,0,1,0,0,2,23.0,1
1,0.1518,249.0,38.4,49.9,87.1,0,0,0,0,0,0,0,4,147.0,0
2,0.5097,,55.7,65.0,59.3,1,0,1,0,0,0,0,2,32.0,1
0,0.1743,280.0,26.8,62.2,40.8,0,1,0,0,1,1,0,2,129.0,1
1,0.1689,303.0,66.6,61.9,72.6,0,0,1,1,0,0,0,2,340.0,1
2,0.2968,471.0,54.1,96.3,74.5,0,0,0,0,0,1,0,1,19.0,1
2,0.0829,349.0,45.4,64.2,87.1,0,0,0,0,0,0,0,0,9.0,1
1,0.1388,356.0,77.9,72.0,82.5,1,0,1,1,0,0,0,3,28.0,0
0,0.3463,323.0,44.1,50.4,93.1,0,0,0,1,0,0,0,3,85.0,1
0,0.0776,244.0,28.9,40.1,71.9,0,0,0,0,0,0,0,2,84.0,0
1,0.3964,186.0,42.1,50.3,65.7,0,0,0,1,0,0,0,0,151.0,1
3,0.555,337.0,48.5,65.7,39.8,0,1,1,0,0,1,0,0,24.0,1
3,0.1973,,50.4,61.1,66.9,0,0,0,0,1,0,0,3,,0
1,0.2517,699.0,37.0,61.0,53.2,0,0,1,0,0,0,0,3,20.0,1
2,0.4213,589.0,15.6,51.8,65.4,0,0,0,0,0,0,0,2,4.0,0
0,0.1562,383.0,41.9,,62.9,1,0,0,1,0,1,0,3,34.0,1
2,0.3669,347.0,58.5,52.3,69.5,0,0,0,1,0,1,0,4,16.0,1
1,0.1482,263.0,54.5,65.9,60.4,1,0,0,1,0,0,0,1,46.0,1
1,0.1649,138.0,,67.6,77.0,2,0,1,0,0,1,0,2,7.0,1
7,0.198,276.0,87.2,39.9,18.4,0,0,0,0,0,0,0,2,17.0,1
3,0.2918,304.0,65.7,66.4,65.0,1,0,1,0,0,0,0,2,39.0,0
2,0.4304,319.0,76.9,45.2,81.2,0,0,0,0,0,1,0,2,42.0,1
1,0.1937,357.0,65.8,62.0,91.9,1,0,0,0,1,0,0,0,29.0,0
1,0.1065,458.0,82.8,52.1,,3,0,0,1,0,0,1,1,123.0,1
2,0.1255,192.0,85.3,78.5,89.0,1,0,1,1,1,1,1,0,105.0,1
2,,193.0,69.1,48.7,64.7,4,0,0,0,0,0,0,2,18.0,1
4,0.7077,651.0,64.7,57.7,62.0,0,0,0,1,0,0,1,1,100.0,1
5,0.3384,457.0,48.3,64.1,70.5,1,0,1,1,0,0,0,4,162.0,1
2,0.184,227.0,51.3,41.9,61.9,0,0,0,0,1,0,0,3,,0
2,0.3469,265.0,45.9,53.9,49.5,0,0,0,0,0,0,1,3,36.0,0
0,0.177,256.0,63.2,51.0,53.8,1,0,1,1,1,0,0,0,29.0,0
1,0.1741,281.0,39.0,47.3,44.2,0,0,0,0,0,1,0,2,19.0,0
3,0.1427,372.0,,48.4,70.5,0,0,0,0,0,0,0,1,18.0,0
4,0.5569,1181.0,9.6,79.7,62.2,0,1,0,0,1,0,0,2,109.0,0
1,0.053,,73.0,46.0,,0,0,1,0,1,0,1,1,48.0,0
1,0.3325,397.0,48.0,63.5,52.9,0,0,0,0,1,0,0,0,19.0,1
3,0.1873,114.0,60.2,59.7,70.1,1,0,1,0,0,0,0,1,13.0,0
5,0.2175,229.0,78.2,34.0,74.5,0,0,1,0,1,0,0,2,21.0,1
1,0.5438,542.0,57.4,62.8,43.9,0,0,0,0,0,0,0,2,27.0,1
4,0.1733,366.0,78.0,33.8,41.4,1,0,0,0,1,0,0,1,70.0,1
3,0.1663,50.0,29.6,64.4,77.3,0,0,1,0,1,0,1,1,17.0,1
1,0.1995,400.0,95.2,47.4,40.0,0,0,0,0,0,0,0,1,57.0,1
2,0.2858,,71.6,,70.8,1,0,0,0,0,0,1,1,32.0,1
5,0.2137,100.0,55.8,35.6,,4,1,0,1,0,1,0,1,31.0,1
4,0.108,676.0,77.7,56.8,87.9,0,0,1,0,1,0,0,0,68.0,1
2,0.1414,,31.0,,73.8,0,0,0,0,1,0,0,0,59.0,1
2,0.4606,471.0,46.8,42.9,73.3,0,0,0,0,1,0,0,0,10.0,1
2,0.2372,280.0,78.0,45.9,98.0,0,0,0,0,1,0,1,2,16.0,1
2,,,18.4,61.8,24.6,1,0,0,0,0,0,0,2,26.0,1
2,,360.0,62.1,62.2,54.6,0,1,1,0,1,0,0,2,51.0,1
4,0.1786,552.0,61.6,18.5,75.6,1,0,0,1,0,1,1,5,133.0,1
3,0.6081,351.0,87.4,85.2,56.6,0,0,1,1,0,0,0,3,37.0,1
1,0.1933,381.0,23.5,62.9,81.8,0,0,1,0,0,0,0,0,96.0,0
1,0.168,220.0,81.0,65.5,61.4,1,0,0,0,0,0,0,0,14.0,0
3,0.4417,103.0,41.9,52.8,64.1,1,0,1,1,0,0,0,0,16.0,1
0,0.1357,396.0,44.0,27.2,57.6,0,0,1,1,1,0,0,2,,0
0,0.1456,708.0,30.0,65.1,,1,0,1,1,0,0,0,1,,0
0,0.203,503.0,32.4,46.5,53.2,0,0,1,1,1,0,0,2,96.0,1
3,0.2417,96.0,59.3,63.2,66.3,0,1,0,1,0,0,0,2,3.0,0
